開催日時,結果
2025-05-24 23:38:00,負け
2025-05-24 23:42:00,負け
2025-05-24 23:35:00,負け
2025-05-24 23:30:00,勝ち
2025-05-24 23:27:00,ゴール負け
2025-05-24 23:23:00,勝ち
2025-05-24 23:21:00,負け
2025-05-24 23:17:00,負け
2025-05-24 23:15:00,ゴール負け
2025-05-24 23:14:00,勝ち
2025-05-24 23:05:00,ゴール負け
2025-05-24 23:02:00,負け
2025-05-24 23:00:00,ゴール負け
2025-05-24 22:54:00,ゴール負け
2025-05-24 22:50:00,ゴール負け
2025-05-24 22:47:00,ゴール負け
2025-05-24 22:43:00,ゴール負け
2025-05-24 22:40:00,勝ち
2025-05-24 22:37:00,ゴール負け
2025-05-24 17:55:00,勝ち
2025-05-24 17:44:00,負け
2025-05-24 17:38:00,負け
2025-05-24 17:29:00,負け
2025-05-24 17:26:00,勝ち
2025-05-23 23:14:00,勝ち
2025-05-23 23:11:00,負け
2025-05-23 23:03:00,勝ち
2025-05-23 22:55:00,勝ち
2025-05-23 22:19:00,ゴール負け
2025-05-23 22:15:00,ゴール負け
2025-05-23 22:12:00,ゴール負け
2025-05-24 23:44:00,ゴール負け
2025-05-24 23:48:00,負け
2025-05-24 19:00:00,勝ち
